new entry "Dome_Summon_AntivenomDome"
type "SkillData"
data "SkillType" "Dome"
data "ForGameMaster" "No"
data "IsEnemySkill" "Yes"
data "ActionPoints" "1"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "Lifetime" "3"
data "TargetConditions" "Ally;!Dead"
data "AuraSelf" "ANTIVENOM_DOME"
data "AuraAllies" "ANTIVENOM_DOME"
data "TargetRadius" "13"
data "AreaRadius" "3"
data "Icon" "CMP_Skill_Antivenom_Dome"
data "DisplayName" "Dome_Summon_AntivenomDome_DisplayName"
data "DisplayNameRef" "Decontamination Zone"
data "Description" "Dome_Summon_AntivenomDome_Description"
data "DescriptionRef" "Creates a magical field that increases Poison resistance for all allies inside it."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Earth_Prepare_Throw_Line_Root_01,KeepRot,Detach:Dummy_Root;RS3_FX_Skills_Earth_Prepare_Throw_Line_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_attack_round_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Aoe_Voodoo_Root_01_Poison"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "DomeEffect" "RS3_FX_Skills_SummonAntiVenomDome"
data "CycleConditions" "Ally;!Dead"

