new entry "BLOOD_AURA"
type "StatusData"
data "StatusType" "STANCE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "No"
data "DisplayName" "BLOOD_AURA_DisplayName"
data "DisplayNameRef" "Blood Aura"
data "Icon" "Skill_Necromancy_Blood_Burst"
data "FormatColor" "White"
data "StatusEffect" "RS3_FX_GP_Status_Regenerating_01"
data "StatsId" "Stats_BloodAura"
data "StackId" "Stack_BloodAura"
data "AuraRadius" "13"
data "AuraSelf" "BLOODAURAHEAL"
data "AuraAllies" "BLOODAURAHEAL"
data "AuraEnemies" "DEEPCUT"

